date,total_cases,increase,total_death
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,2,2,0
32,2,0,0
33,2,0,0
34,2,0,0
35,2,0,0
36,2,0,0
37,2,0,0
38,3,1,0
39,3,0,0
40,3,0,0
41,3,0,0
42,3,0,0
43,3,0,0
44,3,0,0
45,3,0,0
46,3,0,0
47,3,0,0
48,3,0,0
49,3,0,0
50,3,0,0
51,3,0,0
52,20,17,1
53,62,42,2
54,155,93,3
55,229,74,7
56,322,93,10
57,453,131,12
58,655,202,17
59,888,233,21
60,1128,240,29
61,1694,566,34
62,2036,342,52
63,2502,466,79
64,3089,587,107
65,3858,769,148
66,4636,778,197
67,5883,1247,233
68,7375,1492,366
69,9172,1797,463
70,10149,977,631
71,12462,2313,827
72,15113,2651,1016
73,17660,2547,1266
74,21157,3497,1441
75,24747,3590,1809
76,27980,3233,2158
77,31506,3526,2503
78,35713,4207,2978
79,41035,5322,3405
80,47021,5986,4032
81,53578,6557,4825
82,59138,5560,5476
83,63927,4789,6077
84,69176,5249,6820
85,74386,5210,7503
86,80589,6203,8215
87,86498,5909,9134
88,92472,5974,10023
89,97689,5217,10779
90,101739,4050,11591
91,105792,4053,12428
92,110574,4782,13155
93,115242,4668,13915
94,119827,4585,14681
95,124632,4805,15362
96,128948,4316,15887
97,132547,3599,16523
98,135586,3039,17127
99,139422,3836,17669
100,143626,4204,18279
101,147577,3951,18849
102,152271,4694,19468
103,156363,4092,19899
104,159516,3153,20465
105,162488,2972,21067
106,165155,2667,21645
107,168941,3786,22170
108,172434,3493,22745
109,175925,3491,23227
110,178972,3047,23660
111,181228,2256,24114
112,183957,2729,24648
113,187327,3370,25085
114,189973,2646,25549
115,192994,3021,25969
116,195351,2357,26384
117,197675,2324,26644
118,199414,1739,26977
119,201505,2091,27359
120,203591,2086,27682
121,205463,1872,27967
122,207428,1965,28236
123,209328,1900,28710
124,210717,1389,28884
125,211938,1221,29079
126,213013,1075,29315
127,214457,1444,29684
128,215858,1401,29958
129,217185,1327,30201
130,218268,1083,30395
131,219070,802,30560
132,219814,744,30739
133,221216,1402,30911
134,222104,888,31106
135,223096,992,31368
136,223885,789,31610
137,224760,875,31763
138,225435,675,31908
139,225886,451,32007
140,226699,813,32169
141,227364,665,32330
142,228006,642,32486
143,228658,652,32616
144,229327,669,32735
145,229858,531,32785
146,230158,300,32877
147,230555,397,32955
148,231139,584,33072
149,231732,593,33142
150,232248,516,33229
151,232664,416,33340
152,232997,333,33415
153,233197,200,33475
154,233515,318,33530
155,233836,321,33601
156,234013,177,33689
157,234531,518,33774
158,234801,270,33846
159,234998,197,33899
160,235278,280,33964
161,235561,283,34043
162,235763,202,34114
163,236142,379,34167
164,236305,163,34223
165,236651,346,34301
166,236989,338,34345
167,237290,301,34371
168,237500,210,34405
169,237828,328,34448
170,238159,331,34514
171,238011,-148,34561
172,238275,264,34610
173,238499,224,34634
174,238720,221,34657
175,238833,113,34675
176,239410,577,34644
177,239706,296,34678
178,239961,255,34708
179,240136,175,34716
180,240310,174,34738
181,240436,126,34744
182,240578,142,34767
183,240760,182,34788
184,240961,201,34818
185,241184,223,34833
186,241419,235,34854
187,241611,192,34861
188,241819,208,34869
189,241956,137,34899
190,242149,193,34914
191,242363,214,34926
192,242639,276,34938
193,242827,188,34945
